CÓDIGO COMPLETO,REGIÓN,AUTORIDAD AMBIENTAL,RAZÓN SOCIAL,CATEGORÍA,SECTOR ,SUBSECTOR,DESCRIPCIÓN DE LA EMPRESA O NEGOCIO,CADENA PRODUCTIVA,MUNICIPIO,DEPARTAMENTO,AÑO DE VERIFICACIÓN ,VERSIÓN CRITERIOS DE VERIFICACIÓN,PLAN DE MEJORA PARA LLEGAR A NIVEL SATISFACTORIO,Participación Bioexpo ,Etapa Empresarial 
2014FBCAMVA48,CENTRAL,AMVA,ORGANIC EVOLUTION-COLORGANICS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,RECURSOS GENÉTICOS Y PRODUCTOS DERIVADOS,Col Achiote,Col Achiote,La Estrella,ANTIOQUIA,2014,V1.1.,Sí,2015,Consolidación
2014FBCAMVA45,CENTRAL,AMVA,TECNACOL,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"Tecnacol S.A, ubicada en Sabaneta - Antioquia es una iniciativa que trabaja con ingredientes naturales para la industria alimenticia, su principal producto es el aceite en polvo de achiote ",Achiote,Sabaneta ,ANTIOQUIA,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCAMVA39,CENTRAL,AMVA,ECOFLORA CARES,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO"," Se encarga de desarrollar tecnología natural de color para las industrias de alimentos y de cuidado personal, ofrecen asesoría en transición del colorante sintético a natural o natural a natural de mejor desempeño, testing de comportamiento de color, realizan la adecuación de los colorantes a las características del proceso industrial de cada cliente y el acompañamiento en procesos de pruebas industriales",Colorante Natural,Sabaneta ,ANTIOQUIA,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCAMVA33,CENTRAL,AMVA,ALSEC ALIMENTOS  SECOS,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,BIOCOMERCIO,NO MADERABLES,"ALSEC Alimentos  Secos S.A, es una iniciativa que trabaja en la transformación de frutos, para el extracto Acaí en polvo sacha inchi deshidratados y leofilizados, ubicados en el Municipio de la Estrella - Antioquia ",Acaí,La Estrella ,ANTIOQUIA,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCAMVA28,CENTRAL,AMVA,PRODUCTOS ALIMENTICIOS PEPITA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Productos Alimenticios Pepita S. A. S , ubicada en Itagüí - Antioquia, trabaja en la transformación de frutas en empaques de conservas . Asai, piña,mora, breva","Asai, piña, mora, breva",Itagüí,ANTIOQUIA,2014,V1.1.,Sí,No reporta ,No Reporta 
2014FBCCAM1,CENTRAL,CAM,APISRED,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Apisred es una empresa productora , trasformadora y comercializadora de productos generados de la colmena; miel de abeja, polen, propoleo, jalea real, miel angelita, cera, apiterapia,hidromiel, vinagre de miel, gel antibacterial",Apicultura,Rivera,HUILA,2014,V1.1.,Sí,2015,Despegue
2014FBCCAM12,CENTRAL,CAM,BOSCAFE,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Es una empresa familiar dedicada a la produccion, tranformacion y comercializacion de café.",Café,Bruselas,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
2014FBCCAM18,CENTRAL,CAM,COOPERATIVA INTEGRAL DE APICULTORES DEL HUILA - COAPI,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Coapi es la Cooperativa que agremia a los apicultores del departmento del Huila; empresa  productora y comercializadora de productos generados de la colmena; miel de abeja, polen, propoleo, jalea real, miel angelita, servicio de asistencia tecnica, venta de equipos y materiales apicolas.",Apicultura,Neiva,HUILA,2014,V1.1.,Sí,2015,Expansión
2014FBCCAM2,CENTRAL,CAM,ASOCIACIÓN AGROPECUARIA EL MEZON DE NEIVA - AGROMEZON,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO","Esta asociación produce café con buenas practicas agricolas, procesado, empacado y distribuido en la región",Café,Neiva,HUILA,2014,V1.1.,Sí,2015,Despegue
2014FBCCAM22,CENTRAL,CAM,FLORES LA QUINTA,BIENES Y SERVICIOS SOSTENIBLES PROVENIENTES DE RECURSOS NATURALES,AGROSISTEMAS SOSTENIBLES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",La empresa Flores y Follajes La Quinta se dedica a la Producción y comercialización de Heliconias y follajes de diferentes vaariedades y la prestacion del servicio de floristeria para espacios amplios y auditorios.,Heliconias,Campoalegre,HUILA,2014,V1.1.,Sí,No reporta ,Despegue
